id	title	title_source	title_uri	ccodes	matches	names	types	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	start	end
8349794	Cidade Velha			CV	wd:None;wd:Q464913;gn:3374725;viaf:124469319;loc:n91010373	Cidade Velha					-23.604166666667	14.916666666667	MULTIPOINT (-23.604166666667 14.916666666667)		wd:	2026	
8349795	Dakar			SN	wd:None;wd:Q3718;gn:2253354;gnd:4010921-5;viaf:133615639;loc:n79108879;bnf:11863399c	Dakar					-17.457222222222	14.731944444444	MULTIPOINT (-17.457222222222 14.731944444444)		wd:	2026	
8349797	Harar Jugol			ET	wd:None;wd:Q190184;gn:335035;gnd:4023411-3	Harar Jugol					42.127777777778	9.3111111111111	MULTIPOINT (42.127777777778 9.311111111111099)		wd:	2026	
8349798	Island of Mozambique			MZ	wd:None;wd:Q331099;gn:1037390;viaf:315129671;gnd:4822016-4	Island of Mozambique					40.732777777778	-15.036666666667	MULTIPOINT (40.732777777778 -15.036666666667)		wd:	2026	
8349799	Lamu			KE	wd:None;wd:Q272799;gn:7667643;viaf:235949385	Lamu					40.900277777778	-2.2686111111111	MULTIPOINT (40.900277777778 -2.2686111111111)		wd:	2026	
8349800	Mombasa			KE	wd:None;wd:Q225641;gn:186301;gnd:4040023-2;viaf:125477296;bnf:11932515c;loc:n79055155	Mombasa					39.666666666667	-4.05	MULTIPOINT (39.666666666667 -4.05)		wd:	2026	
8349801	Saint-Louis			SN	wd:None;wd:Q273779;gn:2246452;gnd:4118222-4;viaf:145458067;loc:n83193984;bnf:11581254j	Saint-Louis					-16.5	16.033333333333	MULTIPOINT (-16.5 16.033333333333)		wd:	2026	
8349802	Timbuktu			ML	wd:None;wd:Q9427;gn:2449067;gnd:4119616-8;viaf:145377145;loc:n82085135	Timbuktu					-2.9994438888889	16.773333055556	MULTIPOINT (-2.9994438888889 16.773333055556)		wd:	2026	
8349803	Zanzibar City			TZ	wd:None;wd:Q2222874;gn:148730;bnf:15079242z;viaf:24144648190506101862	Zanzibar City					39.2	-6.1666666666667	MULTIPOINT (39.2 -6.1666666666667)		wd:	2026	
8349804	Aleppo			SY	wd:None;wd:Q41183;gnd:4001116-1;gn:170063;tgn:1002052;viaf:152061976;viaf:130268283;bnf:11965989c;pl:658409;loc:n81053997	Aleppo					37.15	36.2	MULTIPOINT (37.15 36.2)		wd:	2026	
8349805	Algiers			DZ	wd:None;wd:Q3561;gnd:4084955-7;gn:2507480;viaf:122613150;loc:n79058668;bnf:11948367q	Algiers					3.0586111111111	36.776388888889	MULTIPOINT (3.0586111111111 36.776388888889)		wd:	2026	
8349806	Cairo			EG	wd:None;wd:Q85;gnd:4029236-8;gn:360630;loc:n79055723;bnf:13181517r;viaf:125715126;tgn:7001215	Cairo					31.239444444444	30.056111111111	MULTIPOINT (31.239444444444 30.056111111111)		wd:	2026	
8349807	Damascus			SY	wd:None;wd:Q3766;gnd:4010956-2;gn:170654;loc:n79143055;viaf:238973527;viaf:146573830;pl:678106	Damascus					36.291944444444	33.513055555556	MULTIPOINT (36.291944444444 33.513055555556)		wd:	2026	
8349808	Erbil			IQ	wd:None;wd:Q132754;gn:95446;gnd:4068823-9;viaf:130212079;loc:n82137042;pl:874341;tgn:7002589	Erbil					44.009444444444	36.191111111111	MULTIPOINT (44.009444444444 36.191111111111)		wd:	2026	
8349809	Essaouira			MA	wd:None;wd:Q216939;gnd:4115178-1;gn:2549263;viaf:140674598;loc:n79051879	Essaouira					-9.768696	31.513023	MULTIPOINT (-9.768696 31.513023)		wd:	2026	
8349810	Fez			MA	wd:None;wd:Q80985;gn:2548885;gnd:4092159-1;viaf:248988837;viaf:167122806;loc:n79144976	Fez					-5.003333333333333	34.04333333333334	MULTIPOINT (-5.003333333333333 34.04333333333334)		wd:	2026	
8349811	Ghadames			LY	wd:None;wd:Q192237;gn:2217440;viaf:50144648413742392289;gnd:4251667-5;bnf:119435583	Ghadames					9.5	30.133333333333	MULTIPOINT (9.5 30.133333333333)		wd:	2026	
8349812	Ghardaïa			DZ	wd:None;wd:Q622841;gn:2496049;gnd:4086717-1;loc:n85189316;viaf:123222955	Ghardaïa					3.6666666666667	32.483333333333	MULTIPOINT (3.6666666666667 32.483333333333)		wd:	2026	
8349813	Jeddah			SA	wd:None;wd:Q374365;gn:105343;gnd:4091273-5;bnf:12083288m;viaf:142144648495666137572	Jeddah					39.172777777778	21.542777777778	MULTIPOINT (39.172777777778 21.542777777778)		wd:	2026	
8349814	Kairouan			TN	wd:None;wd:Q179570;gnd:4029239-3;gn:2473449;bnf:11938055p;loc:n82164827;viaf:266992672	Kairouan					10.1	35.68333333333333	MULTIPOINT (10.1 35.68333333333333)		wd:	2026	
